p_delete,p_add,max_additions,node_idx,degree,degree_bucket,clean_confidence,clean_margin,margin_bucket,predicted_class,true_label,abstained,is_correct,certified_radius,reported_certified_radius,reported_asymmetric_total_radius,reported_asymmetric_delete_budget,reported_asymmetric_add_budget,reported_runner_up_asymmetric_total_radius,smoothed_confidence,pA_lower
0.02,1e-05,96,2518,7,2,0.44398993253707886,0.31936177611351013,2,4,4,False,True,1,1,1,1,0,1,1.0,0.9962067613450979
0.05,2e-05,160,2149,1,0,0.1714380979537964,0.020730584859848022,0,3,3,False,True,0,0,0,0,0,0,0.925,0.9037335880754855
0.05,2e-05,160,2255,1,0,0.18131409585475922,0.008382901549339294,0,6,1,False,False,0,0,0,0,0,0,0.9605,0.9441072838164284
0.05,2e-05,160,2313,2,0,0.17068354785442352,0.004431873559951782,0,1,2,False,False,0,0,0,0,0,0,0.913,0.8904304586890486
0.05,2e-05,160,1922,2,0,0.2935769259929657,0.15763846039772034,1,0,0,False,True,1,1,1,1,0,1,0.9985,0.993052004795509
0.05,2e-05,160,2403,2,0,0.30109331011772156,0.14637431502342224,1,3,3,False,True,1,1,1,1,0,1,0.998,0.9921680080642201
0.05,2e-05,160,2475,2,0,0.29460737109184265,0.14832498133182526,1,3,3,False,True,1,1,1,1,0,1,0.9985,0.993052004795509
0.05,2e-05,160,1866,2,0,0.42917388677597046,0.31396134197711945,2,3,3,False,True,1,1,1,1,0,1,1.0,0.9962067613450979
0.05,2e-05,160,2315,1,0,0.4482472240924835,0.31316138803958893,2,3,3,False,True,1,1,1,1,0,1,0.999,0.9939894201208139
0.05,2e-05,160,2488,1,0,0.4410214424133301,0.3117549270391464,2,1,1,False,True,1,1,1,1,0,1,0.999,0.9939894201208139
0.05,2e-05,160,1995,4,1,0.1894836574792862,0.024889051914215088,0,3,3,False,True,0,0,0,0,0,0,0.942,0.9228353087165302
0.05,2e-05,160,2201,3,1,0.19283708930015564,0.020348355174064636,0,0,0,False,True,0,0,0,0,0,0,0.891,0.8663332459183977
0.05,2e-05,160,2654,3,1,0.17908594012260437,0.011954590678215027,0,0,2,False,False,0,0,0,0,0,0,0.9525,0.9348308987028324
0.05,2e-05,160,1820,3,1,0.3078114092350006,0.17813237011432648,1,3,3,False,True,1,1,1,1,0,1,0.998,0.9921680080642201
0.05,2e-05,160,2673,3,1,0.30339574813842773,0.15532942116260529,1,4,4,False,True,1,1,1,1,0,1,0.994,0.9859553296094573
0.05,2e-05,160,2682,2,1,0.30368611216545105,0.1534389704465866,1,4,4,False,True,0,0,0,0,0,1,0.9855,0.9744697177389934
0.05,2e-05,160,1828,4,1,0.4510190188884735,0.3146202862262726,2,5,5,False,True,1,1,1,1,0,1,1.0,0.9962067613450979
0.05,2e-05,160,1960,4,1,0.4386470317840576,0.3160039484500885,2,5,5,False,True,1,1,1,1,0,1,1.0,0.9962067613450979
0.05,2e-05,160,2576,3,1,0.4382535219192505,0.3252485990524292,2,0,0,False,True,1,1,1,1,0,1,1.0,0.9962067613450979
0.05,2e-05,160,2195,4,2,0.1936844438314438,0.008668556809425354,0,0,0,False,True,1,1,1,1,0,1,0.991,0.9817477300234251
0.05,2e-05,160,2326,4,2,0.20141872763633728,0.004923209547996521,0,1,1,False,True,0,0,0,0,0,0,0.8595,0.832326914825109
0.05,2e-05,160,1873,5,2,0.2862834334373474,0.15001171827316284,1,3,3,False,True,1,1,1,1,0,1,0.992,0.9831249186231097
0.05,2e-05,160,2295,5,2,0.31276193261146545,0.16602948307991028,1,0,0,False,True,1,1,1,1,0,1,1.0,0.9962067613450979
0.05,2e-05,160,1824,8,2,0.43872857093811035,0.31453486531972885,2,5,5,False,True,1,1,1,1,0,1,1.0,0.9962067613450979
0.05,2e-05,160,2518,7,2,0.44398993253707886,0.31936177611351013,2,4,4,False,True,1,1,1,1,0,1,0.9995,0.9950118925598964
0.1,5e-05,256,2149,1,0,0.1714380979537964,0.020730584859848022,0,3,3,False,True,0,0,0,0,0,0,0.83,0.8008785706395578
0.1,5e-05,256,2255,1,0,0.18131409585475922,0.008382901549339294,0,6,1,False,False,0,0,0,0,0,0,0.897,0.8728725644057298
0.1,5e-05,256,2313,2,0,0.17068354785442352,0.004431873559951782,0,1,2,False,False,0,0,0,0,0,0,0.836,0.8072482603577349
0.1,5e-05,256,1922,2,0,0.2935769259929657,0.15763846039772034,1,0,0,False,True,1,1,1,1,0,1,0.9935,0.9852366279448626
0.1,5e-05,256,2403,2,0,0.30109331011772156,0.14637431502342224,1,3,3,False,True,1,1,1,1,0,1,0.9925,0.9838221358073134
0.1,5e-05,256,2475,2,0,0.29460737109184265,0.14832498133182526,1,3,3,False,True,1,1,1,1,0,1,0.995,0.9874203164791199
0.1,5e-05,256,1866,2,0,0.42917388677597046,0.31396134197711945,2,3,3,False,True,1,1,1,1,0,1,0.9985,0.993052004795509
0.1,5e-05,256,2315,1,0,0.4482472240924835,0.31316138803958893,2,3,3,False,True,1,1,1,1,0,1,0.998,0.9921680080642201
0.1,5e-05,256,2488,1,0,0.4410214424133301,0.3117549270391464,2,1,1,False,True,1,1,1,1,0,1,0.989,0.9790508190048475
0.1,5e-05,256,1995,4,1,0.1894836574792862,0.024889051914215088,0,3,3,False,True,0,0,0,0,0,0,0.8855,0.8603579720074709
0.1,5e-05,256,2201,3,1,0.19283708930015564,0.020348355174064636,0,0,0,False,True,0,0,0,0,0,0,0.79,0.7587094437830337
0.1,5e-05,256,2654,3,1,0.17908594012260437,0.011954590678215027,0,0,2,False,False,0,0,0,0,0,0,0.8865,0.8614430822228079
0.1,5e-05,256,1820,3,1,0.3078114092350006,0.17813237011432648,1,3,3,False,True,1,1,1,1,0,1,0.997,0.9905036977241862
0.1,5e-05,256,2673,3,1,0.30339574813842773,0.15532942116260529,1,4,4,False,True,1,1,1,1,0,1,0.985,0.9738266325611364
0.1,5e-05,256,2682,2,1,0.30368611216545105,0.1534389704465866,1,4,4,False,True,0,0,0,0,0,1,0.9655,0.9499819562415193
0.1,5e-05,256,1828,4,1,0.4510190188884735,0.3146202862262726,2,5,5,False,True,2,2,2,2,0,2,1.0,0.9962067613450979
0.1,5e-05,256,1960,4,1,0.4386470317840576,0.3160039484500885,2,5,5,False,True,2,2,2,2,0,2,1.0,0.9962067613450979
0.1,5e-05,256,2576,3,1,0.4382535219192505,0.3252485990524292,2,0,0,False,True,2,2,2,2,0,2,0.9995,0.9950118925598964
0.1,5e-05,256,2195,4,2,0.1936844438314438,0.008668556809425354,0,0,0,False,True,1,1,1,1,0,1,0.973,0.9589386520649557
0.1,5e-05,256,2326,4,2,0.20141872763633728,0.004923209547996521,0,1,1,False,True,0,0,0,0,0,0,0.7205,0.6864354816285886
0.1,5e-05,256,1873,5,2,0.2862834334373474,0.15001171827316284,1,3,3,False,True,1,1,1,1,0,1,0.9775,0.964421401722886
0.1,5e-05,256,2295,5,2,0.31276193261146545,0.16602948307991028,1,0,0,False,True,1,1,1,1,0,1,0.9975,0.9913216511278451
0.1,5e-05,256,1824,8,2,0.43872857093811035,0.31453486531972885,2,5,5,False,True,2,2,2,2,0,2,1.0,0.9962067613450979
0.1,5e-05,256,2518,7,2,0.44398993253707886,0.31936177611351013,2,4,4,False,True,2,2,2,2,0,2,1.0,0.9962067613450979
